essay_id,essay_text,sentence_tokens,word_tokens,avg_sentence_length,avg_word_length,lexical_richness,grammar_score,coherence_score,content_relevance_score,final_score
11,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",8.833333333333334,7.348837209302325,0.5471698113207547,6.74,7.06,5.05,6.33
12,Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities.,"['Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.']","['Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.']",9.5,6.2,0.7894736842105263,9.33,6.62,8.94,8.4
13,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.25,6.967741935483871,0.7837837837837838,9.42,6.16,5.33,7.21
14,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",9.125,7.220338983050848,0.3972602739726027,5.02,5.4,5.71,5.34
15,Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required.,"['Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.']","['Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.']",9.75,6.114285714285714,0.8205128205128205,7.63,9.58,9.39,8.74
16,Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities.,"['Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.']","['Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.']",9.25,6.4,0.7702702702702703,9.39,8.63,6.59,8.32
17,"Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.","['Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.166666666666666,6.782608695652174,0.7272727272727273,7.66,8.21,8.59,8.1
18,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",9.125,7.220338983050848,0.3972602739726027,6.15,8.3,5.44,6.58
19,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",8.875,7.385964912280702,0.4084507042253521,9.24,5.15,5.76,6.97
20,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.']",8.75,7.275862068965517,0.8285714285714286,6.66,7.16,6.42,6.74
21,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.125,7.220338983050848,0.3972602739726027,7.05,5.82,5.09,6.09
22,Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.,"['Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.125,6.553846153846154,0.6301369863013698,7.14,7.95,6.05,7.06
23,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",9.0,7.5,0.3888888888888889,7.32,8.73,8.97,8.24
24,Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities.,"['Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.']","['Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.']",9.5,6.03030303030303,0.7894736842105263,5.62,9.6,6.04,6.94
25,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",9.0,7.5,0.3888888888888889,9.17,10.0,5.09,8.2
26,Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.,"['Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.25,6.46875,0.8108108108108109,8.42,5.28,9.69,7.86
